"taxonID","isMarine","isFreshwater","isTerrestrial"
"rinse-checklist:taxon:01b0f8473705dedcf1c209026e8f90e8","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:01b69eb1088b1b9dd223d7c3e84077c5","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:01ba6703584fab968ff8bb8d0231b4cb","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:01d1a874f440102ec0121a7693bcc3d7","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:01f96da595bde6bfd3830e7afca35f4d","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:020e7645fd9c5b8426b0f1e4353ecc7e","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:021190dbd73f804155902d243cd60017","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0221a0790bbb1afcd36e1652deeea761","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:022e3c20cd5a938f43e55d10aeb577eb","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:023ba6fe5a40d82f6a4b154225197d25","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0241d6e4c6187dbca0fc2dce923ac98f","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02423958189df0a5ae5d4ad973051312","FALSE","TRUE","TRUE"
"rinse-checklist:taxon:025927fc864a3c284961b30c66c73d46","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0259ecdd0c95540d406aedc5538cd1c9","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:026f86e7d2cfb9ac0d9e7d791d327e7c","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:027296444483068b47ef38776d5ee11e","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:028b9a4300b824e41d8c26ccc27f5a14","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02a21ce986d3fb37433adfc6e1b98e58","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02d3ba7025c075f07cf5ba1faf461b26","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02d6fabd27b46525322d641feefeff51","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02d8bf0c535228d6b3b93874342ad898","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02e90582b37d4def5d1eb412759f4ec9","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02eb3b0f1f14460722c4e1b6d3d31cc2","FALSE","TRUE","FALSE"
"rinse-checklist:taxon:02f1a2ea05adffa722332ac4078ce8d6","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02fcbc91919e191b3f0bfc3a1498901e","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0310f0e29a8611c7a0034f1055f09def","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0321ea72c4c017cc67a35eb7e8152ba7","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:032d294b430a70e861db89d4bdc1bc9e","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:034384ddfa437e2f35a17f0757163fcf","FALSE","TRUE","TRUE"
"rinse-checklist:taxon:034a898191cd67a609c1cfee78d325c2","FALSE","FALSE","TRUE"
