"taxonID","isMarine","isFreshwater","isTerrestrial"
"rinse-checklist:taxon:02708d4cde1fdca47690a23447230437","TRUE","TRUE","FALSE"
"rinse-checklist:taxon:0276e027ba868f003d557e2238f69209","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:028c00d4ff8fbd2016e13f8019e03931","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02c1c0f12f1b7c820d8a25c52344baf8","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02c6f3f9e505ffccc1e669d312ba61d0","TRUE","FALSE","FALSE"
"rinse-checklist:taxon:02cd0a1d392f62605342d31c86fb5976","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02cd2dfbafa85c55fb7174aae5fa0b56","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02d0753f5907f6b4ce2c8b76ff9d8cc5","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02d1f32e493b07cb39fcb5609c753ad2","TRUE","FALSE","FALSE"
"rinse-checklist:taxon:02d988cb8acf275f248e6861b895816b","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02da78a05f7678ab8f8a8584f8509c1f","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02dc76df11d2d6fee507ad81cddb374f","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02efca3516e4b0f0f03caf36ec682214","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02fecea9034af8a8c4a586a89394e11c","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:02fee16b82ffffeec6b8b96b4e9fe6b7","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0304a56d817ab4f625381f98871bb978","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:030773d36076a23905fd5800646651a5","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:031143f578c6853b51d655dcc4be8a6e","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:031d065bcb5cf5a78d37c6e46c31e86b","FALSE","TRUE","FALSE"
"rinse-checklist:taxon:031d504af9f70ab138a65635738e00b6","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03202ff919453869f070aa100681c2eb","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03217d4cd2d185e1aaa606ef5c46f9a8","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0325bc1e5b4e1e69cd434b2ff704c12f","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:032898208da686462d25a3535e835dd6","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:034713ba8f56ec1d8f098b88a6aeaa48","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03511a5096cff4fb5ce994c171fd0e89","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0353bbc533c8477d277119b3967abc81","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0355627d2f853041bc256148436856e4","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0364bf33d9ae3d2664255381d551d6b3","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:036cdf33501229ebbc48a2f45b358182","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0370f93f56877b8a3ffb8945b7538142","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0371155361cabc061dacc88965a46227","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0381025ba3940a7359a9b7212dfa7afa","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:0386bd8f29c92031b26d5a539918ffe7","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03a646701413200b0b8a0e77e76e180c","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03b1b1ee67c000b34132d84e4c18fd5a","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03ca579e808a4954fcdd86876143edb8","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03cefcfd6f65ae6e2536bdd5fd05040d","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03d016e04c932cf479c91f86b5acfdf4","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03dbecc79af4fc8fc3a5b6e3694656f4","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03dfece59d630f642fe2da5bfd60ec00","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03ebe24cf58846009d25e5bd4f62642e","FALSE","FALSE","TRUE"
"rinse-checklist:taxon:03ee3e8f29d05f34a98d2f96ff6ba9f8","FALSE","FALSE","TRUE"
